,#,Title,Fork Score,Release Date,Accolades,Notes,Topic,Guest 1,Guest 2,Guest 3,Guest 4
0,1,Chili’s with Eva Anderson,3.33,"May 20, 2015",,,Chili’s,Eva Anderson,,,
1,2,Taco Bell with Jack Allison,4.33,"May 25, 2015",,,Taco Bell,Jack Allison,,,
2,3,IHOP with Alison Agosti,3.83,"May 28, 2015",,,IHOP,Alison Agosti,,,
3,4,Outback Steakhouse with Jon Gabrus,3.83,"June 4, 2015",,,Outback Steakhouse,Jon Gabrus,,,
4,5,Long John Silver's with Mary Holland,2.83,"June 11, 2015",,,Long John Silver's,Mary Holland,,,
5,6,TGI Fridays with Jordan Morris,3.83,"June 18, 2015",,"Mitch coins ""Spoonman""",TGI Fridays,Jordan Morris,,,
6,7,Chipotle with Mike Hanford,4.67,"June 25, 2015",Golden Plate Club,,Chipotle,Mike Hanford,,,
7,8,Umami Burger with Heather Anne Campbell,2.50,"July 2, 2015",,,Umami Burger,Heather Anne Campbell,,,
8,9,Carl’s Jr./Hardee’s with Ben Axelrad,4.33,"July 9, 2015",Golden Plate Club,creation of the Golden Plate Club and Platinum Plate Club,Carl’s Jr./Hardee’s,Ben Axelrad,,,
9,10,Domino’s with Matt Kowalick,3.67,"July 16, 2015",,,Domino’s,Matt Kowalick,,,
10,11,Carrows with Erin Whitehead,1.00,"July 23, 2015",Broken Plate Club,score revised from 1.50 in later ep,Carrows,Erin Whitehead,,,
11,12,Chick-fil-A with Betsy Sodaro,4.50,"July 29, 2015",Golden Plate Club,"denied entry to the Golden Plate Club, but in ep. 13, Mitch allows them in.",Chick-fil-A,Betsy Sodaro,,,
12,13,Denny’s with Farley Elliott,3.17,"August 6, 2015",,,Denny’s,Farley Elliott,,,
13,14,Original Tommy’s with Jim Woods,3.50,"August 12, 2015",Hand-Holding Club,first time Yusong is mentioned on the show (he was helping out),Original Tommy’s,Jim Woods,,,
14,15,Boston Market with Annie Mebane,3.50,"August 19, 2015",Hand-Holding Club,,Boston Market,Annie Mebane,,,
15,16,In-N-Out Burger with Armen Weitzman,4.33,"August 27, 2015",Platinum Plate Club,score revised from 5.00 in later ep,In-N-Out Burger,Armen Weitzman,,,
16,17,Subway with Fran Gillespie,2.33,"September 3, 2015",,"first ""howdy ho!"" to Spoon Nation",Subway,Fran Gillespie,,,
17,18,Steak ‘n Shake with Evan Susser,2.67,"September 9, 2015",🥩🥤,score revised from 3.33 in later ep,Steak ‘n Shake,Evan Susser,,,
18,19,Buffalo Wild Wings with Matt Selman,4.11,"September 18, 2015",Golden Plate Club,tickle porn,Buffalo Wild Wings,Matt Selman,,,
19,20,Starbucks with Joe Saunders,2.83,"September 24, 2015",,first Bill Clinton appearance; score revised from 3.17 in later ep,Starbucks,Joe Saunders,,,
20,21,L&L Hawaiian Barbecue with Eugene Cordero,4.17,"October 1, 2015",Golden Plate Club,,L&L Hawaiian Barbecue,Eugene Cordero,,,
